report_id,report_text,report_type,site,department,date,hazard_type,work_type,precursor_categories,risk_level,missing_controls,language,is_synthetic,label_source
SYN-0001,Worker noticed and reported a small oil spill near storage tank. Containment berms were in place. Area was cleaned within 15 minutes.,unsafe_act,Nazira Oil Field,HSE,2026-01-24,chemical,welding,chemical,LOW,Respiratory protection; Spill kit,en,true,synthetic
SYN-0002,Worker forgot to wear safety glasses while chipping near rotating equipment. Chip guard was not in place. Supervisor observed from 10 meters away.,near_miss,Dibrugarh Terminal,HSE,2025-09-08,chemical,drilling,chemical,MEDIUM,Chemical goggles; Spill kit,en,true,synthetic
SYN-0003,Vehicle horn was not working during pre-use inspection. Vehicle was taken out of service and horn was repaired same day.,near_miss,Selenghat Station,HSE,2024-10-11,loto,drilling,loto,LOW,LOTO procedure; Energy isolation verification,en,true,synthetic
SYN-0004,Pipeline crew dug excavation near buried cable without calling utility locating service. Warning tape was found 0.5 meters from dig point.,unsafe_act,Jorhat Pump Station,HSE,2024-04-04,fire,working at height,fire,MEDIUM,Hot work permit; Fire watch,en,true,synthetic
SYN-0005,Worker reported near-miss: wrench slipped from height but hit empty area. Tool tethering requirement was reinforced in toolbox talk.,near_miss,Nazira Oil Field,Drilling,2024-05-07,loto,working at height,loto,LOW,Lockout/tagout devices; Energy isolation verification,en,true,synthetic
SYN-0006,Worker climbed ladder without maintaining three-point contact. Ladder was not secured at top. Safety boots had worn-out soles.,unsafe_act,Margherita Depot,Well Services,2025-12-22,procedures,welding,procedures,MEDIUM,Work permit; Supervision,en,true,synthetic
SYN-0007,Worker used damaged gas cylinder without pressure testing. Cylinder was last tested 3 years ago. Valve was leaking and worker was smoking nearby.,unsafe_condition,Dibrugarh Terminal,HSE,2024-10-11,mechanical,excavation,mechanical,HIGH,Lockout devices; Machine guarding,en,true,synthetic
SYN-0008,Worker performed grinding without face shield. sparks were directed toward flammable material storage area 3 meters away.,near_miss,Nazira Oil Field,Production,2024-06-24,procedures,turnaround maintenance,procedures,MEDIUM,Job safety analysis; Work permit,en,true,synthetic
SYN-0009,Pipeline crew dug excavation near buried cable without calling utility locating service. Warning tape was found 0.5 meters from dig point.,unsafe_act,Margherita Depot,HSE,2024-08-22,fire,drilling,fire,MEDIUM,Fire extinguisher; Fire watch,en,true,synthetic
SYN-0010,Worker performed grinding without face shield. sparks were directed toward flammable material storage area 3 meters away.,near_miss,Margherita Depot,Well Services,2025-05-26,chemical,working at height,chemical,MEDIUM,Ventilation system; Respiratory protection,en,true,synthetic
SYN-0011,Worker performed grinding without face shield. sparks were directed toward flammable material storage area 3 meters away.,unsafe_condition,Margherita Depot,Pipeline,2026-07-08,procedures,well testing,procedures,MEDIUM,Training certification; Job safety analysis,en,true,synthetic
SYN-0012,Electrician performed live electrical work on 11kV panel without LOTO. Panel was not de-energized and no arc flash PPE was worn. Other workers were within 3 meters.,unsafe_act,Margherita Depot,Logistics,2026-05-31,mechanical,welding,mechanical,HIGH,Energy isolation; Lockout devices,en,true,synthetic
SYN-0013,Electrician bypassed safety interlock on motor control center. Lockout devices were removed without authorization. Start-up warning was not sounded.,unsafe_condition,Selenghat Station,Production,2025-09-02,confined_space,excavation,confined_space,HIGH,Rescue plan; Confined space permit,en,true,synthetic
SYN-0014,Worker noticed and reported a small oil spill near storage tank. Containment berms were in place. Area was cleaned within 15 minutes.,unsafe_act,Dibrugarh Terminal,Pipeline,2024-10-27,fire,working at height,fire,LOW,Fire watch; Gas-free certificate,en,true,synthetic
SYN-0015,Worker performed hot work on fuel storage tank without gas-free certificate. Flammable vapors were detected 2 hours before work started.,unsafe_act,Nazira Oil Field,Maintenance,2026-06-10,ppe,pipeline repair,ppe,HIGH,Safety glasses; Hard hat,en,true,synthetic
SYN-0016,Forklift was operated with cracked windshield. Operator did not wear seatbelt. Speed limit in warehouse area was exceeded by 5 km/h.,unsafe_condition,Margherita Depot,Drilling,2025-05-15,procedures,drilling,procedures,MEDIUM,Work permit; Job safety analysis,en,true,synthetic
SYN-0017,Daily pre-shift briefing was not documented for one crew. Supervisor completed retroactive documentation. Template was updated.,unsafe_act,Nazira Oil Field,HSE,2026-06-18,electrical,well testing,electrical,LOW,LOTO procedure; Insulated tools,en,true,synthetic
SYN-0018,Daily pre-shift briefing was not documented for one crew. Supervisor completed retroactive documentation. Template was updated.,near_miss,Dibrugarh Terminal,Maintenance,2025-05-01,gravity,turnaround maintenance,gravity,LOW,Guard rails; Controlled access zone,en,true,synthetic
SYN-0019,Electrical panel door was left open after maintenance. Warning labels were faded and not replaced. No temporary barrier was installed.,near_miss,Selenghat Station,HSE,2025-12-07,ppe,electrical work,ppe,MEDIUM,High-visibility vest; Safety glasses,en,true,synthetic
SYN-0020,Safety meeting noted that two workers were not wearing high-visibility vests. Workers corrected immediately. Trend to be monitored.,unsafe_condition,Nazira Oil Field,Logistics,2024-05-03,ppe,electrical work,ppe,LOW,Safety glasses; Hard hat,en,true,synthetic
SYN-0021,Electrical panel door was left open after maintenance. Warning labels were faded and not replaced. No temporary barrier was installed.,unsafe_act,Margherita Depot,HSE,2024-01-08,procedures,welding,procedures,MEDIUM,Work permit; Training certification,en,true,synthetic
SYN-0022,Worker entered confined space without proper gas testing and without isolation. No permit to work was obtained. The space had not been ventilated and no rescue equipment was on standby.,unsafe_act,Nazira Oil Field,Production,2024-10-12,ppe,excavation,ppe,HIGH,Safety glasses; High-visibility vest,en,true,synthetic
